graph_file,num_nodes,ideal_cost_real,ideal_path_length
graph_0001_n43.txt,43,198,3
graph_0002_n20.txt,20,59,1
graph_0003_n9.txt,9,53,1
graph_0004_n74.txt,74,111,2
graph_0005_n85.txt,85,70,1
graph_0006_n98.txt,98,165,3
graph_0007_n3.txt,3,31,1
graph_0008_n58.txt,58,148,3
graph_0009_n17.txt,17,80,1
graph_0010_n61.txt,61,226,3
graph_0011_n80.txt,80,117,2
graph_0012_n64.txt,64,206,5
graph_0013_n48.txt,48,139,2
graph_0014_n39.txt,39,139,2
graph_0015_n91.txt,91,272,6
graph_0016_n65.txt,65,228,3
graph_0017_n44.txt,44,259,4
graph_0018_n51.txt,51,202,3
graph_0019_n24.txt,24,92,1
graph_0020_n19.txt,19,56,1
graph_0021_n9.txt,9,96,2
graph_0022_n6.txt,6,40,1
graph_0023_n84.txt,84,353,6
graph_0024_n45.txt,45,138,2
graph_0025_n39.txt,39,72,1
graph_0026_n69.txt,69,190,3
graph_0027_n49.txt,49,229,7
graph_0028_n66.txt,66,175,3
graph_0029_n25.txt,25,125,2
graph_0030_n98.txt,98,233,3
graph_0031_n56.txt,56,304,5
graph_0032_n55.txt,55,203,3
graph_0033_n95.txt,95,177,3
graph_0034_n33.txt,33,118,2
graph_0035_n94.txt,94,241,4
graph_0036_n86.txt,86,95,1
graph_0037_n94.txt,94,112,2
graph_0038_n46.txt,46,117,2
graph_0039_n4.txt,4,73,1
graph_0040_n66.txt,66,268,5
graph_0041_n33.txt,33,48,1
graph_0042_n87.txt,87,308,5
graph_0043_n33.txt,33,246,5
graph_0044_n33.txt,33,162,2
graph_0045_n83.txt,83,245,3
graph_0046_n62.txt,62,91,1
graph_0047_n9.txt,9,49,1
graph_0048_n49.txt,49,169,3
graph_0049_n78.txt,78,307,5
graph_0050_n93.txt,93,281,4
graph_0051_n44.txt,44,150,2
graph_0052_n48.txt,48,71,1
graph_0053_n44.txt,44,147,3
graph_0054_n81.txt,81,222,5
graph_0055_n7.txt,7,115,2
graph_0056_n25.txt,25,109,2
graph_0057_n78.txt,78,126,2
graph_0058_n13.txt,13,33,2
graph_0059_n62.txt,62,69,1
graph_0060_n80.txt,80,465,8
graph_0061_n64.txt,64,176,2
graph_0062_n96.txt,96,166,3
graph_0063_n30.txt,30,129,2
graph_0064_n39.txt,39,175,4
graph_0065_n67.txt,67,136,2
graph_0066_n40.txt,40,121,3
graph_0067_n73.txt,73,143,2
graph_0068_n45.txt,45,172,3
graph_0069_n21.txt,21,183,2
graph_0070_n85.txt,85,187,3
graph_0071_n36.txt,36,75,1
graph_0072_n44.txt,44,191,3
graph_0073_n94.txt,94,25,1
graph_0074_n29.txt,29,184,3
graph_0075_n27.txt,27,123,3
graph_0076_n52.txt,52,380,6
graph_0077_n88.txt,88,60,1
graph_0078_n21.txt,21,125,2
graph_0079_n75.txt,75,21,1
graph_0080_n86.txt,86,73,1
graph_0081_n19.txt,19,98,2
graph_0082_n32.txt,32,260,3
graph_0083_n76.txt,76,201,4
graph_0084_n33.txt,33,201,4
graph_0085_n52.txt,52,74,1
graph_0086_n10.txt,10,30,1
graph_0087_n89.txt,89,255,4
graph_0088_n43.txt,43,85,1
graph_0089_n72.txt,72,124,2
graph_0090_n43.txt,43,109,2
graph_0091_n38.txt,38,92,2
graph_0092_n49.txt,49,103,2
graph_0093_n34.txt,34,102,2
graph_0094_n86.txt,86,61,1
graph_0095_n36.txt,36,175,2
graph_0096_n6.txt,6,88,1
graph_0097_n43.txt,43,80,1
graph_0098_n33.txt,33,120,2
graph_0099_n72.txt,72,82,3
graph_0100_n37.txt,37,128,3
